inDict,phrase
0,facing the truth
0,eyes only for
1,fact of the matter
0,eyes like saucers
0,failed to notice
1,fair in love and war
1,fall into place
0,falling in love
1,fat lady sings
0,feather in your cap
1,fate worse than death
1,feet of clay
1,feet on the ground
1,fetal alcohol syndrome
0,first pass effect
1,fit as a fiddle
1,fast and loose
1,finger on the pulse
0,fit for the gods
0,first time in ages
1,flesh and blood
1,flat as a pancake
1,flash in the pan
0,float my boat
1,fill in the blanks
1,flip a coin
1,fly in the ointment
0,fluorescence resonance energy transfer
1,food for thought
0,foot in mouth
1,for a rainy day
1,fish-and-chips
1,first come%2C first served
1,foam at the mouth
1,for a loop
1,for a ride
1,foot in the door
1,for a song
1,for better or worse
1,for the asking
1,for the most part
1,for the love of
0,for the records
1,foot-and-mouth disease
1,for the sake of
0,four vessel occlusion
1,free and easy
1,fresh as a daisy
1,from rags to riches
1,from pillar to post
0,freeze fracture electron microscopy
1,fresh out of
1,from the cradle to the grave
0,from the head down
0,from the outset
1,four-leaf clover
1,from time to time
1,four-wheel drive
1,four-letter word
1,from top to toe
0,fuel to the fire
0,full time job
0,get along with
1,full of beans
0,fusiform face area
0,from the hip
0,get started with
0,get yourself together
1,get away with
0,give it a chance
0,give it a miss
0,getting on my nerves
0,glad to see the back
1,give me a break
0,go for it
1,go the extra mile
1,goes without saying
1,going great guns
0,good to see you
0,good laboratory practice
1,grain of salt
0,gram negative bacteria
0,great minds think alike
1,green around the gills
0,great pacific garbage patch
0,green fluorescent protein
1,hair stand on end
0,going to the wall
1,green with envy
0,hale and hearty
1,hand in hand
0,ham and eggs
1,hand over fist
0,happy new year
1,happy as a clam
1,Great Rift Valley
1,Great Barrier Reef
0,hard nut to crack
1,hang on to
1,green-eyed monster
0,hard rock cafe
1,haste makes waste
0,hat in the ring
1,have in common
0,head in the clouds
1,head over heels
1,heads or tails
0,health care provider
0,held accountable for
0,heart on sleeve
0,heart of the matter
1,hell or high water
0,herpes simplex virus
1,high and dry
0,high frequency trading
0,high heel shoes
0,high on agenda
1,high on the hog
1,head-in-the-sand
1,head and shoulders
0,high resolution time lapse imaging
0,high temperature superconductor
0,high speed centrifuge
1,hell-for-leather
0,high throughput screening
1,hit the sack
0,hive of activity
1,hit the road
0,hole in my pocket
1,hot knife through butter
1,hit-and-run
1,hold your horses
1,home and dry
1,how are you
1,hot under the collar
1,how do you do
1,human immunodeficiency virus
0,human rights watch
1,in a trice
1,in a nutshell
1,in a hurry
0,in a clover
1,home the bacon
1,in a tight corner
1,hustle and bustle
1,in addition to
1,high-performance liquid chromatography
0,in agreement with
0,in another league
1,in black and white
1,in bed with
1,in any case
1,in hot pursuit
1,in favor of
1,in deep water
0,in fine feather
1,in due course
0,in hard cash
1,in high dudgeon
1,in honor of
0,in plain english
1,in place of
1,in order to
1,in my book
1,in pursuit of
1,in line with
1,in plain sight
1,in terms of
1,in relation to
0,in return for
0,in shallow waters
1,in receipt of
0,in square brackets
1,in large part
1,in lieu of
1,in the buff
0,in the cahoots
1,in the can
1,in that case
1,in the cards
0,in the case of
0,in the crossfire
0,in the core
0,in the deep end
1,in the event of
0,in the driving seat
1,in the doghouse
1,in the dock
0,in the fast lane
1,in the dark
1,in the face of
1,in the firing line
0,in the limelight
1,in the making
0,in the line of fire
0,in the market for
1,in the hope of
0,in the frame of
1,in the meantime
0,in the midst of
1,in the offing
1,in the open
1,in the same boat
1,in the pipeline
1,in the name of
0,in the prime of life
0,in the same vein
1,in the spotlight
0,in the sticks
1,in the twinkling of an eye
1,in the wake of
1,in the way of
1,in this regard
0,in this respect
0,in touch with
1,in too deep
0,in troubled waters
0,in tune with
1,in the same mold
0,in vicinity of
0,in your court
1,inflammatory bowel disease
0,innocent as a lamb
1,it comes to
1,in your face
0,it takes two to tango
1,its ugly head
1,ion exchange resin
1,insult to injury
0,jelly to the wall
0,joined in the hip
0,jolly good fellow
1,jump the gun
0,jump in the line
1,jury is out
1,just a pretty face
0,just eye candy
1,keen as mustard
0,keen as a bean
1,jack-of-all-trades
1,keep in check
0,keep in mind
1,keep an eye on
1,kith and kin
1,knight in shining armor
0,knee jerk reaction
1,knives are out
1,just-in-time
1,labor of love
0,land of plenty
1,last but not least
0,lead in pencil
1,lend a hand
0,least squares regression
0,learn by heart
0,left holding the bag
0,left holding the baby
0,kilroy was here
1,less said the better
1,level playing field
1,light as a feather
0,ligand binding domain
1,knock on wood
0,like a beaver
1,Latter-day Saint
0,like a fish needs a bicycle
0,like a glove
1,like a hole in the head
0,like a headless chicken
1,like a maniac
0,like a hot potato
0,like a million bucks
1,like a ton of bricks
0,like a rash
1,like cats and dogs
0,like herding cats
1,like pulling teeth
1,like the clappers
0,line up with
1,little by little
0,little bird told me
0,liquid scintillation counter
0,ll talk and no action
0,loaf of bread
0,long story short
0,long term depression
1,look up to
1,looking forward to
0,loss of consciousness
0,louder than words
0,love and be wise
1,hotcake
0,love at first sight
1,lost for words
1,magnetic resonance imaging
1,major depressive disorder
1,mad cow disease
0,make a fortune
0,making eyes at
0,manic depressive disorder
1,long-term potentiation
1,mass extinction event
1,match made in heaven
0,mass destruction weapons
0,mental time travel
0,mass spectral analysis
0,mild cognitive impairment
0,mind the gap
1,milk of human kindness
0,mind your step
1,money for old rope
1,money to burn
0,misery loves company
1,more of the same
0,monte carlo simulation
0,million miles away
0,move your ass
1,movers and shakers
0,motor neuron disease
0,mini mental state examination
1,mutton dressed as lamb
0,name in vain
0,nail on the head
1,more or less
0,morris water maze
0,national institute of health
0,national geographic society
0,national drug agency
0,neat and clean
1,neat and tidy
1,multiple system atrophy
1,nerve growth factor
0,new ball game
0,near infrared spectroscopy
0,new kids on the block
1,near-death experience
0,next generation sequencing
0,nice as ninepence
1,no bones about
0,no ice with
1,nip and tuck
0,no strings attached
1,new-world monkey
1,no time to lose
1,no match for
1,New York minute
0,no way around
1,no truck with
1,no hard feelings
1,nine-to-five
0,non governmental organization
1,none the wiser
1,none the worse for wear
1,no stone unturned
0,nonnegative matrix factorization
1,no pain%2C no gain
1,not much to look at
0,not my cup of tea
0,not much to do with
0,not hurt a fly
0,not my fault
0,not rocket science
0,not my president
0,not supposed to
1,not to mention
0,nothing to declare
1,nothing to it
1,nothing short of
1,North Atlantic Treaty Organization
0,nothing to lose
1,nuclear magnetic resonance
1,nothing to sneeze at
0,now or never
1,nuts and bolts
0,nuclear power plant
0,off my ass
1,odds and sods
1,off the beaten path
1,off the hook
1,off the grid
0,off the pot
1,off the radar
1,off the record
1,off the rails
0,off the rose
1,old habits die hard
0,off the track
0,of epic proportions
1,oil on troubled waters
0,old as dirt
1,old dog new tricks
0,on a binge
1,off the wall
1,on a collision course
0,on a shoestring
0,on a silver platter
1,on borrowed time
1,on behalf of
1,on cloud nine
1,on deaf ears
1,on pins and needles
0,on high horse
1,on second thought
1,on the average
1,on the ball
1,on the back burner
1,on the brink of
0,on the bandwagon
1,on short notice
1,on the dot
1,on the horizon
0,on the far side
1,on the house
1,on the lookout
1,on the market
1,on the mend
1,on the hoof
1,on the move
0,on the one side
1,on the other side
1,on the rocks
1,on the same page
0,on the same wavelength
0,on the safe side
1,on the shelf
1,on the shit list
1,on the spot
1,on the verge of
0,on the vane
1,on the warpath
1,on the wrong foot
0,on the waiting list
0,on the wrist
1,on thin ice
0,on top of that
1,once in a blue moon
1,once and for all
1,once in a while
1,once upon a time
0,one for the team
1,one for the road
1,one too many
0,one in the eye
1,one hit wonder
1,one of a kind
0,one man show
0,one step ahead
0,one stop shop
0,open channel blocker
1,order of magnitude
0,other fish in the sea
1,once bitten%2C twice shy
1,other way around
0,other side of the coin
1,one way or another
1,out and about
1,one-night stand
0,out for the best
1,out of action
0,out of context
0,out of bed the wrong side
1,one-trick pony
1,out of control
1,out of focus
0,out of force
1,out of line
1,out of hand
0,out of house and home
1,out of order
1,out of practice
1,out of my mind
1,out of nowhere
1,out of print
1,out of shape
1,out of proportion
1,out of sorts
1,out-of-date
0,out of steam
1,out of sight
0,out of the depth
0,out of the closet
1,out of the woodwork
1,out of thin air
1,out of work
1,out on a limb
0,out on bail
1,out of whole cloth
0,out on the town
1,out the red carpet
0,out with the bathwater
1,outside the box
0,out with a bang
1,out of the way
1,over the edge
1,over my dead body
0,over the hedge
1,over the counter
0,over the knee boots
0,over the rainbow
1,over the top
0,out of the suitcase
0,ox on the tongue
1,over the moon
1,pain in the ass
0,pair of scissors
0,pair of pants
1,parasympathetic nervous system
0,pale in comparison
1,pearl of wisdom
0,part of the game
1,pave the way
1,part and parcel
1,pearls before swine
1,pay attention to
0,pay the price
1,pedal to the metal
1,penny for your thoughts
0,pair of glasses
1,pen to paper
1,peripheral nervous system
0,phosphor storage screen
1,piece of cake
0,phoenix from the ashes
0,picture tells a story
0,piece of piss
1,point of no return
0,piece of the cake
1,pig in a poke
1,pinch of salt
0,pill to swallow
1,point of view
0,poor as a church mouse
0,periodic table of elements
0,post mortem delay
1,proof of concept
0,post mortem interval
1,power behind the throne
0,preaching to the choir
0,presynaptic nerve terminal
0,principal component analysis
1,proton pump inhibitor
1,push comes to shove
0,publish or perish
1,push the boat out
1,pushing up daisies
1,positron-emission tomography
1,postpartum depression
1,put to the test
1,post-traumatic stress disorder
1,quick and dirty
0,quantitative structure activity relationship
1,quick as a flash
1,rapid eye movement
1,quiet as a mouse
1,quick on the draw
0,rabbit out of a hat
1,rack and ruin
1,quite a bit
1,red as a beet
1,put it past
1,raining cats and dogs
0,reels of cotton
1,restless legs syndrome
0,region of interest
1,right as rain
0,ring the bell
0,right livelihood award
0,rock and a hard place
1,rock the boat
1,round the bend
1,rule of thumb
1,red-letter day
1,run for it
0,run for money
1,rumor has it
0,room to swing a cat
1,sackcloth and ashes
1,salt of the earth
0,saddled with debt
1,same old story
1,scanning electron microscopy
1,same to you
1,seal of approval
0,scintillation proximity assay
1,seasonal affective disorder
1,Rous sarcoma virus
0,seen better days
1,selective serotonin reuptake inhibitors
1,second to none
0,shame on you
1,shake a leg
0,shape up or ship out
1,sense of humor
1,sheep from the goats
0,ship has sailed
0,shit from shinola
0,shit hits the fan
1,shot in the arm
1,show of hands
0,shot in the knee
0,shoulders of giants
1,sick as a dog
1,shot in the dark
1,sexually transmitted disease
1,since sliced bread
0,silent as a grave
0,sitting on a gold mine
0,sitting on the fence
0,size exclusion chromatography
0,skeletons at the feast
1,skin and bones
0,skeleton in the closet
0,sleeping like a log
0,slow and steady
1,smooth as silk
1,snake in the grass
0,so help me god
1,so much the better
1,so to speak
1,speak of the devil
1,speed of light
0,spike timing dependent plasticity
1,so much for
1,start from scratch
1,so far%2C so good
0,standing in line
0,standard error of the mean
1,state of the art
1,spoilt for choice
1,stiff upper lip
1,stock and barrel
1,stitch in time
1,steer clear of
0,solid phase synthesis
1,storm in a teacup
0,strapped for cash
1,sympathetic nervous system
1,straw in the wind
1,stubborn as a mule
0,take a look at
1,take for granted
0,take home message
1,take advantage of
1,take into account
1,take it easy
0,stay in line
0,taken aback by
1,than meets the eye
0,that man again
0,the better off
1,the best of
1,the brunt of
1,sword of Damocles
1,the blame on
0,the bottom line
1,the big picture
1,the bright side
1,the cold shoulder
1,the chattering classes
1,the death knell
1,the door open
0,the driving force
1,the extra mile
1,temporal lobe epilepsy
1,the Big Apple
0,the great divide
1,the good old days
0,the final curtain
1,the hell out of
0,the hots for
0,the icing on the cake
1,the last of
1,the last straw
0,the light of day
0,the major part
0,the most out of
1,the long and the short of
0,the minor part
0,the sheer size
0,the riot act
0,the short straw
0,the slow lane
1,the usual suspects
0,the whole picture
1,the wind out of
0,theory of mind
0,those three little words
1,three cheers for
0,three alarm fire
0,three dimensional space
0,through a rough patch
0,through the cracks
0,through the grapevine
1,through the wringer
1,throw in the towel
1,time after time
0,thin as a rake
1,through thick and thin
1,thin-layer chromatography
1,time is money
0,three body problem
0,time is running out
1,time is up
1,Three Mile Island
0,time series analysis
1,tip of the iceberg
1,to do with
0,to be continued
1,to hell in a handbasket
0,to great lengths
1,to no avail
0,to name a few
1,to say the least
0,to look the part
0,to some extent
1,to the best of
1,to the bone
1,to the bottom
1,to the brim
0,to the crisp
0,to the crunch
0,to the effect of
1,to the gallery
1,to the dogs
0,to the largest part
1,too close for comfort
1,to the stake
1,to the naked eye
1,to the test
0,to the wolves
0,toad in the sun
1,tongue in cheek
0,to the honor of
1,tough as nails
1,train of thought
1,traumatic brain injury
0,too much of a good thing
0,travelling salesman problem
1,trick or treat
1,trip the light fantastic
1,twist the knife
1,two birds with one stone
1,two peas in a pod
0,two photon microscopy
1,under a cloud
1,two left feet
1,under false pretenses
1,under the auspices of
0,under no circumstances
1,under the assumption
1,under the carpet
0,under the condition
1,under the microscope
1,under the weather
1,up a gum tree
1,unidentified flying object
0,up and away
1,up for lost time
1,up the wall
1,up in the air
1,vale of years
0,ut to the chase
0,virtue of necessity
0,voxel based morphometry
0,ver the garden wall
0,waiting in line
1,United States of America
1,walk away with
0,walk in line
1,waste of time
0,warning in mind
1,watched pot never boils
0,watching paint dry
1,up to speed
1,water under the bridge
1,weather the storm
1,up-to-the-minute
0,what on earth
1,when pigs fly
1,wear and tear
0,wheat germ agglutinin
1,when the chips are down
1,while the iron is hot
0,while rome burns
0,white matter hyperintensities
1,whole nine yards
0,whole raft of
1,whole wheat flour
1,wild goose chase
1,window of opportunity
0,will find you out
1,Wechsler Adult Intelligence Scale
1,wine and dine
1,wing and a prayer
1,with a silver spoon
0,with a trowel
1,with flying colors
0,with good reason
0,with kind regards
0,with best regards
1,with open arms
0,with open end
1,with regard to
1,wild and woolly
0,with the flow
1,with the assumption
1,with the exception of
0,with the same brush
0,with short notice
0,with the tide
0,without any doubt
1,word to the wise
0,word gets out
0,without further delay
0,words in mouth
0,world health organization
0,world of difference
0,working like a dog
0,written in water
0,year after year
0,x marks the spot
0,worst case scenario
1,writing on the wall
1,you name it
0,you can copy that
0,zodiac sign compatibility
0,young urban professionals
