inDict,phrase
1,ejusdem generis
1,ipse dixit
1,dementia praecox
0,opera omnia
0,sola gratia
1,pater familias
1,in pari materia
0,in natura
1,horror vacui
1,pontifex maximus
1,obiter dictum
1,editio princeps
1,lex loci
1,pacta sunt servanda
1,damnatio memoriae
0,ad astra
1,in quarto
1,ipso jure
1,ave maria
1,rara avis
1,philosophia perennis
1,ex hypothesi
1,opus magnum
1,functus officio
1,non compos mentis
0,conditio sine qua non
1,ex tempore
0,in pari delicto
1,lex fori
1,modus tollens
1,de fide
1,mirabile dictu
0,vide infra
1,sede vacante
1,ante bellum
0,ars poetica
0,pro patria
1,bona vacantia
1,opus sectile
0,de dicto
1,contra proferentem
1,post factum
1,nomen nudum
0,ex opere operato
1,nolens volens
0,ne bis in idem
0,quo vadis
1,per caput
1,vel non
0,ars technica
1,non obstante
1,res gestae
0,lex scripta
1,amor fati
1,res cogitans
0,primum non nocere
0,semper reformanda
1,sub silentio
0,venia legendi
0,et passim
1,pro re nata
1,ex facie
1,tempus fugit
0,ora et labora
1,per incuriam
1,ante mortem
1,res extensa
1,non plus ultra
0,vide supra
1,homo oeconomicus
0,propria persona
1,ex voto
1,in nomine
0,substantia gelatinosa
0,in casu
1,cursus honorum
1,corpus juris
1,nihil obstat
1,dulce et decorum est
1,terminus ante quem
1,ultima ratio
1,jus gentium
1,ad idem
1,deo volente
1,petitio principii
0,homo sacer
1,textus receptus
0,opus est
0,a minima
0,sensus communis
1,studium generale
1,uti possidetis
0,ex more
1,ignis fatuus
1,ante meridiem
1,a contrario
0,terra nova
1,in capite
1,homo faber
1,post bellum
0,audi alteram partem
1,ora pro nobis
1,pars pro toto
0,homo ludens
1,in propria persona
0,ex novo
0,ratione personae
0,causa sui
1,in esse
1,apparatus criticus
1,aqua fortis
0,factum est
1,ad eundem
0,mortis causa
0,quod est
1,malum in se
0,ex aequo et bono
1,post meridiem
1,in dubio
0,extra ecclesiam nulla salus
1,ut supra
0,culpa in contrahendo
1,per accidens
1,status quo ante bellum
1,intra vires
0,ex utero
1,sub specie aeternitatis
1,in perpetuum
1,hortus conclusus
0,ad usum
1,tertium quid
1,homo habilis
1,malum prohibitum
1,panem et circenses
1,via dolorosa
0,vena amoris
0,de futuro
1,eo ipso
0,ad vitam
1,in octavo
1,locus in quo
1,senatus consultum
1,inter alios
1,una voce
1,nisi prius
1,in concreto
1,in abstracto
1,vis major
0,suo jure
1,mens sana in corpore sano
1,coitus interruptus
1,hic et nunc
0,vita brevis
1,pro parte
1,fons et origo
1,ad referendum
0,in aeternum
0,ad fontes
0,ad honorem
1,post scriptum
1,quasi in rem
1,mea maxima culpa
0,illo tempore
1,ab ovo
1,fac simile
1,ad damnum
1,in rebus
1,onus probandi
1,eo nomine
1,in pectore
1,in vino veritas
0,divide et impera
0,intra muros
0,ius gentium
1,in posse
1,omnium gatherum
1,ad rem
1,ars nova
1,restitutio in integrum
0,in spe
1,ipsissima verba
1,per mensem
1,schola cantorum
0,jure uxoris
1,in principio
1,in parvo
1,arcus senilis
1,felix culpa
0,in praesenti
0,et sequens
1,contra mundum
0,in foro
1,noli me tangere
1,urbi et orbi
1,primum mobile
1,in partibus
0,ex delicto
0,in solidum
0,sensus plenior
1,non est factum
0,ars moriendi
0,papaver somniferum
1,mare nostrum
0,ubi supra
1,persona grata
0,causa mortis
0,lex non scripta
1,expressio unius est exclusio alterius
0,nomen est omen
0,musica sacra
1,quod erat demonstrandum
1,rebus sic stantibus
0,aqua marina
1,in actu
1,dies irae
0,ex lege
0,in salvo
0,lex loci delicti
0,porta romana
0,in dubio pro reo
1,in fieri
1,in infinitum
0,nulla poena sine lege
1,vox humana
1,per impossibile
1,res nullius
1,de bene esse
0,de lege ferenda
0,ex nihilo nihil fit
1,post coitum
0,ante litteram
1,in nuce
1,de profundis
0,ex contractu
1,in saecula saeculorum
0,ius cogens
1,festina lente
0,jus naturale
0,crus cerebri
1,multum in parvo
0,status quaestionis
1,ignoratio elenchi
0,philosophiae doctor
0,contra legem
0,extra muros
1,caput mortuum
1,volenti non fit injuria
0,pater patriae
1,fiat lux
0,esse est percipi
1,ab urbe condita
0,fides quaerens intellectum
0,non bis in idem
0,mos maiorum
0,a latere
1,pro et contra
1,opus dei
0,do ut des
0,argumentum ad ignorantiam
1,spiritus rector
0,jus civile
1,felo de se
0,caveat venditor
1,stella maris
0,semper fidelis
1,non obstante veredicto
1,liberum arbitrium
0,requiescat in pace
0,bellum omnium contra omnes
0,translatio imperii
1,pax romana
0,aqua pura
1,in statu nascendi
1,advocatus diaboli
0,conditio humana
0,ars longa
0,contra bonos mores
1,in transitu
1,disjecta membra
0,circus maximus
0,ad finem
0,ratio legis
1,agnus dei
1,ab extra
0,et vir
1,in statu quo
0,jus divinum
1,a mensa et thoro
1,animal rationale
1,ultima thule
1,ex mero motu
0,ex tunc
1,rus in urbe
0,terra australis
0,de plano
1,tertium non datur
0,novus ordo seclorum
1,ecce homo
0,communis opinio
0,ad mortem
0,de minimis non curat lex
1,non licet
0,oculus sinister
1,doli incapax
0,novum testamentum
1,ab origine
0,de gustibus non est disputandum
1,nemine contradicente
0,suum cuique
1,opus anglicanum
1,in articulo mortis
0,sine nomine
0,cursus publicus
0,a tergo
1,imperium in imperio
0,homo floresiensis
0,oculus dexter
1,ab intra
1,mater dolorosa
1,jure divino
1,risus sardonicus
0,in illo tempore
1,proxima centauri
1,damnum absque injuria
1,lapsus linguae
0,in haec verba
1,pater noster
1,lusus naturae
0,de lege lata
0,sapere aude
0,citius altius fortius
0,alis grave nil
0,nullum crimen sine lege
0,locus delicti
0,miserere nobis
0,ex nunc
1,via lactea
0,per definitionem
1,vera causa
0,jus canonicum
1,nunc dimittis
1,sursum corda
0,hostis humani generis
1,verbatim et literatim
0,dona nobis pacem
1,nil desperandum
0,anno mundi
0,opus quadratum
1,spiritus mundi
0,e silentio
1,ex silentio
1,experimentum crucis
0,homo homini lupus
0,in facie
0,homo neanderthalensis
1,et alibi
1,novus homo
1,proxime accessit
1,dies non
1,non liquet
0,deus vult
1,pons asinorum
1,lapsus calami
1,ad locum
1,ubi sunt
1,donatio mortis causa
1,solvitur ambulando
1,post festum
0,ad acta
0,contradictio in terminis
0,ars gratia artis
0,non serviam
0,primum movens
0,sol invictus
0,in globo
0,ut pictura poesis
0,carpe noctem
1,crimen falsi
1,sic transit gloria mundi
0,in hoc signo vinces
0,loco citato
0,manu militari
0,lapis philosophorum
1,salva veritate
1,res inter alios acta
0,lege artis
1,casus omissus
1,tertium comparationis
0,coram deo
1,nemo dat quod non habet
0,vis maior
1,ex professo
0,similia similibus curantur
0,ignorantia juris non excusat
1,vanitas vanitatum
0,amor vincit omnia
0,homo heidelbergensis
1,uberrima fides
1,facile princeps
0,jus commune
0,ad quod damnum
0,ex opere operantis
1,in partibus infidelium
0,opus operatum
1,dei gratia
0,quis custodiet ipsos custodes
1,ex animo
0,in usu
1,non placet
0,carmina burana
0,fiat panis
1,morituri te salutant
0,per aspera ad astra
1,sub poena
0,vox populi vox dei
1,ex vi termini
0,periculum in mora
1,mare liberum
0,contradictio in adjecto
0,credo quia absurdum
0,in curia
1,horribile dictu
1,e contrario
0,sub nomine
1,sub verbo
0,finem respice
0,senatus consultum ultimum
1,legate a latere
1,ars antiqua
0,nullius in verba
1,contemptus mundi
0,sine ira et studio
1,in flagranti
0,soli deo gloria
0,opus vermiculatum
0,dux bellorum
0,argumentum ad baculum
0,quota litis
0,sub anno
0,et uxor
1,loci communes
0,esse quam videri
1,nudum pactum
0,quare clausum fregit
0,ex deo
0,ex maleficio
0,errare humanum est
0,ex negativo
1,eiusdem generis
0,species nova
0,cave canem
0,pro mille
1,vis inertiae
0,alea iacta est
0,capax infiniti
0,ut dictum
0,ad vitam aeternam
0,apologia pro vita sua
0,invitatio ad offerendum
1,vae victis
1,particeps criminis
1,stabat mater
0,aetatis suae
0,vaticinium ex eventu
1,quoad hoc
1,nosce te ipsum
0,ex proprio vigore
1,ab aeterno
1,odium theologicum
0,humanae vitae
0,audiatur et altera pars
0,damnatio ad bestias
0,magister artium
1,te deum
1,brutum fulmen
1,stupor mundi
0,credo ut intelligam
1,summa summarum
0,anno regni
0,via sacra
0,domus aurea
0,fumus boni iuris
0,sic semper tyrannis
1,virgo intacta
1,miles gloriosus
0,sine prole
0,caritas in veritate
0,cor ad cor loquitur
0,ad multos annos
0,extrema ratio
1,ad absurdem
0,qui bono
0,pluralis majestatis
1,jus primae noctis
0,cacoethes scribendi
0,in summa
0,in dubiis libertas
0,quod vide
0,hic sunt dracones
1,amor patriae
0,ars amatoria
1,lex domicilii
1,mare clausum
0,ad astra per aspera
0,dolus specialis
0,arcana imperii
0,silva rerum
1,secundum artem
0,ad unum
0,ne cede malis
0,acta diurna
1,ab intestato
0,vera natura
1,in rerum natura
0,semper paratus
0,rerum cognoscere causas
1,custos morum
0,de die in diem
0,usque ad finem
1,laudator temporis acti
0,nemo judex in causa sua
0,in gremio
0,opus citatum
0,ave atque vale
1,hortus siccus
0,sine loco
0,lux aeterna
1,per procurationem
1,nil admirari
1,flatus vocis
0,a mari usque ad mare
1,toto caelo
1,salus populi suprema lex
1,fac totum
0,pecunia non olet
0,per pedes
0,iura novit curia
0,semper eadem
0,missa solemnis
1,circulus vitiosus
0,pro domo
1,ad limina apostolorum
0,cor unum
0,ad lucem
0,aude sapere
1,ad clerum
1,et hoc genus omne
1,sub modo
0,de rerum natura
1,hic jacet
1,philosophia prima
0,abusus non tollit usum
1,quantum sufficit
0,totus tuus
0,crescit eundo
1,brevi manu
1,oratio obliqua
0,ad patres
0,per ardua ad astra
0,locus minoris resistentiae
0,habemus papam
0,fiat voluntas tua
1,punctum saliens
1,locus poenitentiae
0,rerum novarum
1,mobile vulgus
1,oratio recta
0,alea jacta est
0,auri sacra fames
0,in effigie
0,a minore
0,ius primae noctis
1,in nubibus
0,jus in re
0,de dato
1,vexata quaestio
0,audentes fortuna juvat
0,si monumentum requiris circumspice
0,adaequatio rei et intellectus
0,suum cuique tribuere
0,ita est
1,sic et non
0,coram publico
1,inter nos
0,lux et veritas
0,annuit coeptis
0,hoc loco
0,lux mundi
1,in distans
0,de gratia
0,ne varietur
0,oderint dum metuant
0,hypotheses non fingo
0,fidei defensor
0,respice finem
0,de mortuis nil nisi bonum
0,per procura
1,salve regina
0,post tenebras lux
0,in facie curiae
0,index nominum
0,post mortem auctoris
0,pro memoria
0,ad eundem gradum
0,vinculum juris
1,arbiter elegantiae
0,bellum iustum
1,aqua mirabilis
0,corruptio optimi pessima
0,ab epistulis
0,dulce et utile
1,sancta simplicitas
0,affectio societatis
0,verbum caro factum est
1,ore rotundo
0,secessio plebis
0,nemo iudex in causa sua
0,index rerum
0,pollice verso
0,opus latericium
0,cui prodest
0,aurea mediocritas
0,dura lex sed lex
0,ut sit finis litium
0,semper maior
0,fides quae creditur
0,animus furandi
0,ad oculos
0,solus ipse
0,ad usum delphini
0,lux in tenebris lucet
0,cepi corpus
0,verbum dei
0,utile dulci
0,artium baccalaureus
0,cur deus homo
0,in omnibus caritas
1,ex abundanti cautela
0,ignorantia legis neminem excusat
0,trustee ex maleficio
0,homo antecessor
0,salvator mundi
0,concordia discors
0,extra moenia
0,magis amica veritas
0,anno hegirae
0,nunc est bibendum
0,in pleno
0,et tu brute
0,per capsulam
0,in dulci jubilo
1,tempora mutantur
0,desipere in loco
0,re vera
0,ne quid nimis
1,obscurum per obscurius
0,tuum est
0,age quod agis
1,memento vivere
1,ab inconvenienti
0,natura non facit saltum
0,consummatum est
0,vox clamantis in deserto
1,pax vobiscum
0,ver sacrum
0,locus sigilli
0,ter in die
0,pallida mors
0,in posterum
0,circulus in probando
0,sic passim
0,lex loci actus
0,sapienti sat
0,ut prosim
1,summum jus
0,homo sum
0,liquor cerebrospinalis
0,ex juvantibus
0,fides qua creditur
0,manu propria
0,legalis homo
0,ad undas
0,in omnia paratus
1,nulli secundus
0,ad meliora
0,via appia
0,urbs in horto
1,probatum est
0,de omnibus dubitandum
0,fluctuat nec mergitur
0,lex loci celebrationis
0,deus otiosus
0,jus utendi
0,opere citato
0,ex abrupto
0,decus et tutamen
0,ante cibum
0,sunt lacrimae rerum
1,per fas et nefas
0,semper idem
0,fugit irreparabile tempus
0,odi et amo
0,ad arma
0,ego te absolvo
1,non prosequitur
0,quid agis
0,dei gratia regina
0,nemo me impune lacessit
0,repetitio est mater studiorum
0,labor omnia vincit
1,coram populo
0,deo gratias
0,civis romanus sum
0,sic itur ad astra
0,gloria in excelsis deo
1,ignotum per ignotius
0,lumen naturale
1,quieta non movere
0,discordia concors
0,temet nosce
0,de bonis asportatis
0,nomen nescio
0,et sequentes
0,gaudium et spes
0,in medio stat virtus
0,laus deo
0,licentia poetica
0,pia fraus
0,artium magister
1,ad maiorem dei gloriam
1,magna mater
0,artibus et historiae
1,ne temere
0,ab absurdo
0,animus donandi
0,et in arcadia ego
0,jus in rem
0,nihil interit
0,post obitum
0,de revolutionibus
0,alterum non laedere
0,disce aut discede
0,quasi ex contractu
0,contra pacem
1,rectus in curia
0,bona fortuna
1,corpus vile
0,pax et bonum
0,esto perpetua
0,hic sunt leones
0,ab ovo usque ad mala
1,varia lectio
1,exeunt omnes
1,pro aris et focis
0,in cauda venenum
0,promotor fidei
0,filius nullius
0,lex loci solutionis
1,absit omen
0,opus tesselatum
0,cura te ipsum
0,cadit quaestio
0,semper vigilans
0,idem quod
0,desiderantes meliorem patriam
1,modus agendi
0,solus christus
1,litterae humaniores
0,sine tempore
0,homo mensura
1,in foro conscientiae
0,de integro
0,vincit qui se vincit
0,iuris tantum
0,capax dei
0,mundus vult decipi
0,pleno jure
1,durante bene placito
0,in nomine domini
0,sesquipedalia verba
0,delectatio morosa
1,nemine dissentiente
0,juris tantum
1,communibus annis
1,me judice
0,regium donum
0,ab antiquo
0,etsi deus non daretur
0,anno urbis conditae
0,radix malorum est cupiditas
0,modus procedendi
0,timor mortis conturbat me
0,vis legis
0,in fidem
0,habent sua fata libelli
0,video et taceo
0,forum romanum
0,agere sequitur
0,dictum meum pactum
0,in flore
0,in naturalibus
0,bona notabilia
0,horresco referens
0,sine metu
0,tempus vernum
0,ad abundantiam
0,ars artium
0,luctor et emergo
0,ex injuria jus non oritur
0,ut omnes unum sint
0,jus accrescendi
0,mirabile visu
0,jus naturae
0,pax christi
0,ex dolo malo
0,opus operantis
0,reductio ad hitlerum
1,corpus juris civilis
0,de civitate dei
0,jus postliminii
0,jus inter gentes
0,docendo discimus
0,ex oriente lux
0,quam diu
0,cupio dissolvi
1,gloria patri
0,gaudeamus igitur
0,veritas in caritate
0,et lux in tenebris lucet
0,castigat ridendo mores
0,rorate coeli
0,finis coronat opus
0,opus musivum
0,ens causa sui
0,pax tecum
0,natale solum
0,beati possidentes
0,ratione soli
0,sit venia verbo
0,non vi sed saepe cadendo
0,decessit sine prole
0,ad unguem
0,sub divo
0,fortes in fide
0,gradatim ferociter
0,in utroque jure
0,historia magistra vitae
0,acta non verba
0,nulla dies sine linea
0,combinatio nova
0,quasi modo geniti
0,summa potestas
0,ut infra
0,commune bonum
0,poeta laureatus
0,de te fabula narratur
1,magnum bonum
0,leges sine moribus vanae
1,vox nihili
0,de oppresso liber
0,ratum et consummatum
0,acta sanctorum
0,animal sociale
0,nihil sub sole novum
0,aequo animo
0,ab imo pectore
0,est modus in rebus
0,nemo propheta in patria
1,quid nunc
0,nihil ad rem
0,congregatio de propaganda fide
0,obsta principiis
0,aes alienum
0,quater in die
0,biblia pauperum
1,experto crede
0,splendide mendax
0,qui tacet consentire videtur
0,hoc age
1,ad arbitrium
0,verbum domini
0,dies non juridicus
0,tabula gratulatoria
0,ira deorum
0,veritas vincit
0,durante munere
0,alis volat propriis
1,genus irritabile vatum
0,manus dei
0,lex loci rei sitae
0,per angusta ad augusta
0,ad fundum
0,dum vivimus vivamus
1,helluo librorum
0,visio dei
0,mens agitat molem
0,quid novi
0,ex ungue leonem
0,quod computet
0,quaque hora
1,quot homines tot sententiae
0,a capite ad calcem
0,ad perpetuam rei memoriam
0,principiis obsta
0,dominus vobiscum
0,tentanda via
1,mutato nomine
0,cedant arma togae
0,sedes apostolica
0,jus honorarium
0,paucis verbis
1,in pontificalibus
0,anno aetatis suae
0,veritas odium parit
0,aut vincere aut mori
0,ubi solitudinem faciunt pacem appellant
1,ad captandum vulgus
0,capax imperii nisi imperasset
0,sustine et abstine
0,abyssus abyssum invocat
0,ultima forsan
0,votum separatum
0,renovatio urbis
0,inter arma enim silent leges
0,lapsus memoriae
0,de omni re scibili
0,simplex sigillum veri
0,reductio ad infinitum
1,in puris naturalibus
0,aliquid stat pro aliquo
0,volenti non fit iniuria
0,per aes et libram
0,quod scripsi scripsi
0,vivat rex
0,talis qualis
0,de minimis non curat praetor
0,gutta cavat lapidem
0,divinum officium
0,videre licet
0,jus abutendi
0,naturalis historia
0,fugit hora
0,ultimo mense
0,ab irato
0,a posse ad esse
0,nec temere nec timide
0,sine anno
0,flagellum dei
0,sub finem
0,experientia docet
0,aqua destillata
0,in hunc effectum
0,verbi gratia
0,audaces fortuna iuvat
0,semper ardens
0,vincit qui patitur
0,caput inter nubila
1,pro nunc
0,tuitio fidei et obsequium pauperum
0,vincit omnia veritas
0,spectemur agendo
0,draco dormiens nunquam titillandus
0,a minore ad maius
0,ad victoriam
0,dies ater
0,tempus edax rerum
0,non scholae sed vitae discimus
0,cuique suum
0,pro opportunitate
0,de dolo
0,beatae memoriae
0,et facta est lux
0,de bello gallico
0,nihil novi sub sole
0,repetita iuvant
0,jus fruendi
0,pater historiae
0,annus terribilis
0,lupus in fabula
0,obtorto collo
0,redde rationem
0,canis canem edit
0,fervet opus
0,ad vitam aut culpam
0,mox nox
0,lux libertas
0,gens una sumus
0,in totidem verbis
0,absit invidia
0,veritas vos liberabit
0,utraque unum
0,aegri somnia
0,splendor sine occasu
0,vade retro satana
0,vires in numeris
0,nec pluribus impar
0,in pace requiescat
0,corruptus in extremis
0,non omnis moriar
0,hora somni
0,rem acu tetigisti
0,quid est veritas
1,doli capax
0,fac et spera
0,nuda veritas
1,per pares
0,ars celare artem
0,alieni juris
0,index librorum prohibitorum
0,pace tua
0,calix meus inebrians
0,jus relictae
0,latet anguis in herba
0,te deum laudamus
0,jure matris
0,ductus exemplo
0,vita patris
0,quinque voces
0,hoc erat in votis
0,gens togata
0,aut disce aut discede
1,locus desperatus
0,quocunque jeceris stabit
0,ita vero
0,pia desideria
1,ecce signum
0,semper apertus
0,opera operata
0,amicus certus in re incerta
1,durante vita
0,vires acquirit eundo
0,dulcius ex asperis
0,rituale romanum
0,amat victoria curam
0,stante pede
0,vive ut vivas
0,viriliter agite
0,vivat crescat floreat
0,acta est fabula
0,dei gratia rex
0,hinc illae lacrimae
0,veritate et caritate
0,corpus juris canonici
0,jure humano
0,veritas liberabit vos
0,facio ut des
0,viriliter age
0,canes pugnaces
0,arare litus
0,humilitas occidit superbiam
0,hic habitat felicitas
0,esto quod es
0,dulce bellum inexpertis
0,reformatio in pejus
0,per mare per terram
0,de fideli
1,more majorum
0,absente reo
0,sit tibi terra levis
0,tria juncta in uno
0,beati pauperes spiritu
0,ex supra
0,sidereus nuncius
0,vitam impendere vero
0,contraria contrariis curantur
0,felix qui potuit rerum cognoscere causas
0,audere est facere
0,pictor ignotus
0,ab uno disce omnes
1,exceptis excipiendis
1,longo intervallo
0,abundans cautela non nocet
0,dulce est desipere in loco
0,regressus ad uterum
0,nuper rosarum flores
0,navigare necesse est
0,semper fortis
0,jus proprietatis
0,palmam qui meruit ferat
0,sub tuum praesidium
0,amare et sapere vix deo conceditur
0,bella gerant alii
0,spiritus ubi vult spirat
0,scientia vincere tenebras
0,qui bene cantat bis orat
0,ex curia
0,deo optimo maximo
0,verbatim et litteratim
0,exegi monumentum aere perennius
0,ab incunabulis
0,quae vide
0,auribus teneo lupum
0,vita ante acta
0,hora fugit
0,a verbis ad verbera
0,carpe vinum
0,ad calendas graecas
0,ad pedem litterae
0,tusculanae disputationes
0,sum quod eris
0,corvus oculum corvi non eruit
0,semper invicta
0,in pari causa
0,bellum se ipsum alet
0,in varietate concordia
0,aut pax aut bellum
0,dictum sapienti sat
0,cui in vita
0,hic et ubique
0,ut cognoscant te
0,fama volat
0,in spiritu et veritate
0,integer vitae scelerisque purus
0,amicus humani generis
0,uno flatu
0,sub umbra floreo
0,necessitas non habet legem
0,vivere est cogitare
0,margaritas ante porcos
0,diem perdidi
0,nihil ex nihilo
0,a maiore ad minus
0,a caelo usque ad centrum
0,virtus unita fortior
0,ius est ars boni et aequi
0,amor platonicus
0,ab hinc
0,sic parvis magna
0,gaudeamus hodie
0,velut arbor aevo
0,mens sibi conscia recti
0,amor dei intellectualis
0,per ardua ad alta
0,jus in personam
0,vero nihil verius
0,remedia amoris
0,vox sanguinis
0,post nubila phoebus
0,jus ecclesiasticum
0,vive memor leti
0,e causa ignota
0,quod erat faciendum
0,semper ad meliora
0,sic vos non vobis
0,e vestigio
0,ex astris scientia
0,scientia et sapientia
0,sumptibus auctoris
0,suo loco
0,senatus populusque romanus
0,animula vagula blandula
0,cura ut valeas
0,incredibile dictu
0,ecce ancilla domini
0,tu stultus es
0,damnant quod non intelligunt
0,omne ignotum pro magnifico
0,fas est et ab hoste doceri
0,post coitem
0,audaces fortuna juvat
0,favete linguis
0,descensus in cuniculi cavum
0,spero meliora
0,victoria concordia crescit
0,cetera desunt
0,amicus certus in re incerta cernitur
0,arma christi
0,primum vivere deinde philosophari
0,regina caeli
0,qui transtulit sustinet
0,spes bona
0,vestigia nulla retrorsum
0,quis ut deus
0,non sibi sed patriae
0,varium et mutabile semper femina
0,sapientia et eloquentia
0,praedia urbana
0,similis simili gaudet
0,alieni iuris
0,deo vindice
0,dulce periculum
0,virtute et armis
0,hac lege
0,cygnus inter anates
0,specialia generalibus derogant
0,exitus acta probat
0,jus relicti
0,fortius quo fidelius
0,dis aliter visum
0,ex scientia tridens
0,rari nantes in gurgite vasto
0,non sum qualis eram
0,veritas odit moras
0,ego te provoco
0,concordia salus
0,virtus non stemma
0,sum quod sum
0,morbus sacer
0,semper instans
0,verba docent exempla trahunt
0,opera citata
0,delegata potestas non potest delegari
0,nunc aut nunquam
0,treuga dei
0,sit nomen domini benedictum
0,clerico admittendo
0,ne nimium
0,sol lucet omnibus
0,aquila non capit muscas
1,cum grano salis
0,fortiter et fideliter
0,regnat populus
0,mihi cura futuri
0,siste viator
0,timeo danaos et dona ferentes
0,sidere mens eadem mutato
0,me fallit
0,equo ne credite
0,res firma mitescere nescit
0,in utrumque paratus
0,qua patet orbis
0,similia similibus solvuntur
0,ut dict
0,dies juridicus
0,verbi divini minister
0,sapientia et doctrina
0,sancta sedes
0,in necessariis unitas
0,celerius quam asparagi cocuntur
0,lectori salutem
0,viribus unitis
0,scio me nihil scire
0,quaecumque sunt vera
0,veritas lux mea
0,non nobis solum nati sumus
0,qui audet adipiscitur
0,ignorantia juris neminem excusat
0,strictum jus
0,nescit vox missa reverti
0,in lumine tuo videbimus lumen
0,ex malo bonum
0,ama et fac quod vis
0,ex luna scientia
0,virtus tentamine gaudet
0,durante absentia
0,pulvis et umbra sumus
0,quod me nutrit me destruit
0,ad kalendas graecas
0,jubilate deo
0,in ictu oculi
0,omnia mea mecum porto
0,numquam non paratus
0,eruditio et religio
0,fortes fortuna juvat
0,dimidium facti qui coepit habet
0,jus soil
0,homo legalis
0,durante minore aetate
0,succisa virescit
0,quo fata ferunt
0,mare tranquillitatis
0,usus est magister optimus
0,ira furor brevis est
0,ex factis jus oritur
0,amor omnibus idem
0,jus angariae
0,decessit sine prole legitima
1,ante christum natum
0,id quod plerumque accidit
0,ignorantia iuris nocet
0,spem gregis
0,ex solo ad solem
0,aequam memento rebus in arduis servare mentem
0,qui docet in doctrina
0,ex fide fortis
0,nihil debet
0,fons vitae caritas
0,errantis voluntas nulla est
0,victoria aut mors
0,arte et marte
0,aeternum vale
0,audio hostem
0,maxima debetur puero reverentia
0,arduum sane munus
0,arduus ad solem
0,veritas aequitas
0,justitia omnibus
0,communi consilio
0,munit haec et altera vincit
0,gaudium in veritate
0,jus edicendi
0,dictum factum
0,hinc et inde
0,ex unitate vires
0,potius mori quam foedari
0,bono malum superate
1,cum laude
0,privilegium minus
0,concilio et labore
0,apage satanas
0,nil sine numine
